Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
1998Oct,,,10083.031,9581.000,9325.958,-757.073,7594.815,6339.330,-1255.485,2488.216,6809.000,2986.628,498.412,,,,,,,-1614.000,-337.174,1797.670,-2577.000,-2134.844,,,683.000,267.956,91.410,665.000,176.546,,,-1696.000,2622.387,4284.393,-1542.000,-1662.006,,,6772.789,182.000,857.459,180.800,16.000,676.659,12026.000,5915.330,10246.000,5930.274
1998Sep,,,13966.960,25873.000,17908.508,3941.548,-14651.650,-9905.236,4746.414,28618.610,29562.000,27813.744,-804.866,,,,,,,3377.000,2404.891,1803.570,1112.000,601.321,,,2162.000,1046.730,-190.400,2051.000,1237.130,,,9595.000,4539.927,-715.639,8483.000,5255.566,,,9916.959,-207.000,-525.381,-168.600,-160.000,-356.781,10947.000,10442.340,18077.000,21076.508
1998Aug,,,29714.996,31261.000,29940.221,225.225,4916.552,4645.877,-270.675,24798.444,32190.000,25294.344,495.900,,,,,,,-1520.000,-2093.026,-2083.860,366.000,-9.166,,,2265.000,1170.646,25.870,1985.000,1144.776,,,12488.000,12069.552,1003.973,11121.000,11065.578,,,18793.050,269.000,74.844,-78.200,216.000,153.044,17760.000,18718.206,18501.000,12940.112
1998Jul,,,48794.966,45232.000,51375.832,2580.866,5109.031,4623.855,-485.176,43685.935,43014.000,46751.977,3066.042,,,,,,,1527.000,4137.409,2033.350,872.000,2104.059,,,1320.000,2770.930,304.940,1602.000,2465.990,,,22795.000,27794.851,4860.706,19318.000,22934.145,,,16672.641,-47.000,208.937,-373.600,539.000,582.537,19638.000,16463.705,20683.000,18665.246
1998Jun,,,7495.480,13744.000,5156.164,-2339.316,-16195.426,-18448.609,-2253.183,23690.906,22863.000,23604.773,-86.133,,,,,,,-183.000,-1123.690,-1983.120,288.000,859.430,,,1645.000,726.999,-580.751,1773.000,1307.750,,,6240.000,-964.302,-9163.025,9721.000,8198.723,,,6517.157,464.000,-389.515,-171.221,551.000,-218.294,5578.000,6906.672,10530.000,13457.164
1998May,,,39475.001,30564.000,47671.486,8196.485,2810.680,2172.381,-638.299,36664.321,34900.000,45499.105,8834.784,,,,,,,503.000,2099.618,1312.060,-158.000,787.558,,,3401.000,5310.243,39.950,3467.000,5270.293,,,13335.000,17333.017,4558.066,9989.000,12774.950,,,22928.608,247.000,322.782,266.500,4.000,56.282,13078.000,22605.826,21599.000,26610.022
1998Apr,,,39934.305,42497.000,45596.173,5661.868,-6037.803,-6003.382,34.421,45972.109,50185.000,51599.556,5627.447,,,,,,,-416.000,-515.183,-1492.860,975.000,977.677,,,3188.000,3564.197,159.640,3073.000,3404.557,,,16154.000,14669.996,-2055.716,16207.000,16725.713,,,27877.163,1878.000,1775.108,118.300,1785.000,1656.808,21693.000,26102.055,28145.000,28834.801
1998Mar,,,15678.958,12818.000,17602.037,1923.079,-1655.476,-786.707,868.769,17334.434,19301.000,18388.744,1054.310,,,,,,,1809.000,2666.740,666.630,1484.000,2000.110,,,1461.000,1237.690,23.410,1766.000,1214.280,,,5075.000,6012.040,1824.566,5171.000,4187.474,,,7685.567,-334.000,-757.275,-553.900,15.000,-203.375,4806.000,8442.842,10865.000,11190.256
1998Feb,,,44426.678,33041.000,52406.925,7980.247,-1216.977,-1636.381,-419.404,45643.655,38323.000,54043.306,8399.651,,,,,,,-1282.000,-592.752,-301.510,182.000,-291.242,,,3463.000,4523.470,-204.720,4158.000,4728.190,,,11771.000,19423.188,-1253.202,13841.000,20676.390,,,29053.020,-446.000,-525.302,307.800,-635.000,-833.102,19535.000,29578.322,20778.000,29763.071
1998Jan,,,52512.960,36289.000,56358.321,3845.361,21170.308,21659.148,488.840,31342.652,27034.000,34699.173,3356.521,,,,,,,7394.000,9077.616,9729.950,920.000,-652.334,,,3745.000,2130.054,80.600,3363.000,2049.454,,,11118.000,24289.984,9623.074,8046.000,14666.910,,,20860.667,-4.000,-293.967,-165.200,20.000,-128.767,14036.000,21154.635,14685.000,18763.910
1997Dec,,,-31017.232,11948.000,-30768.620,248.612,-25908.113,-24856.591,1051.522,-5109.119,16387.000,-5912.029,-802.910,,,,,,,-2305.000,-7887.500,-8140.747,1230.000,253.247,,,-311.000,311.956,-613.294,-250.000,925.250,,,625.000,-20271.698,-9824.718,2889.000,-10446.980,,,-2921.378,1468.000,2199.417,337.085,1409.000,1862.332,12471.000,-5120.795,11109.000,1494.122
1997Nov,,,-2835.056,7763.000,19.369,2854.425,-16511.469,-14471.110,2040.359,13676.414,16582.000,14490.480,814.066,,,,,,,3076.000,2573.920,768.050,1491.000,1805.870,,,1270.000,1139.490,263.510,1225.000,875.980,,,-697.000,-365.232,-4025.949,4526.000,3660.717,,,-3328.809,-758.000,-82.786,53.300,-775.000,-136.086,4873.000,-3246.023,10115.000,8283.998
1997Oct,,,11435.903,15635.000,15795.308,4359.405,-9437.788,-7326.323,2111.465,20873.691,26487.000,23121.631,2247.940,,,,,,,-3174.000,-1820.118,-484.913,-1864.000,-1335.205,,,2225.000,1840.224,237.794,2078.000,1602.430,,,5888.000,11056.793,6757.099,3785.000,4299.693,,,4718.409,560.000,1213.033,149.032,406.000,1064.001,10136.000,3505.376,22083.000,17490.711
1997Sep,,,18356.889,27717.000,18850.170,493.281,-8168.063,-7003.730,1164.333,26524.952,28504.000,25853.900,-671.052,,,,,,,644.000,-472.808,-295.330,499.000,-177.478,,,1191.000,24.180,-367.030,1236.000,391.210,,,13693.000,8268.571,7717.657,3580.000,550.914,,,11030.227,595.000,215.661,-735.900,1185.000,951.561,11594.000,10814.567,22005.000,24137.693
1997Aug,,,4589.419,6120.000,6540.462,1951.043,-289.904,-1742.932,-1453.028,4879.323,13135.000,8283.394,3404.071,,,,,,,-636.000,-1136.261,-206.870,-570.000,-929.391,,,2145.000,1134.440,-188.160,1950.000,1322.600,,,4037.000,4521.442,-5157.129,9067.000,9678.571,,,2020.841,10.000,-275.327,13.700,-166.000,-289.027,564.000,2296.168,2855.000,-1499.360
1997Jul,,,32677.557,35273.000,42426.196,9748.639,1698.869,1244.848,-454.021,30978.688,37603.000,41181.348,10202.660,,,,,,,3026.000,5756.700,3496.150,984.000,2260.550,,,1416.000,3174.190,303.240,1879.000,2870.950,,,18842.000,23460.389,2470.549,17774.000,20989.840,,,10034.916,859.000,1196.761,149.500,968.000,1047.261,11130.000,8838.155,15998.000,14012.747
1997Jun,,,663.532,16794.000,7813.830,7150.298,-18937.213,-18628.769,308.444,19600.745,26788.000,26442.599,6841.854,,,,,,,-2017.000,-2885.899,-2120.523,-1232.000,-765.376,,,1623.000,520.780,-627.110,1751.000,1147.890,,,7030.000,-291.362,-9529.253,11076.000,9237.891,,,10470.311,-352.000,-1204.271,-209.300,-230.000,-994.971,10509.000,11674.582,15422.000,17817.165
1997May,,,43021.335,33875.000,47869.584,4848.249,11193.244,11402.282,209.038,31828.091,29313.000,36467.302,4639.211,,,,,,,-779.000,216.516,-109.590,-313.000,326.106,,,369.000,1911.820,515.950,-19.000,1395.870,,,7481.000,10713.968,1486.518,7106.000,9227.450,,,35027.281,397.000,422.667,388.000,34.000,34.667,26407.000,34604.614,22504.000,25483.209
1997Apr,,,31818.284,34798.000,37290.463,5472.179,2968.865,4296.444,1327.579,28849.418,31918.000,32994.018,4144.600,,,,,,,99.000,390.696,-445.410,606.000,836.106,,,1092.000,1520.290,-239.950,1349.000,1760.240,,,14465.000,12315.313,5643.496,6704.000,6671.817,,,23064.163,-907.000,-1134.638,-276.500,-618.000,-858.138,20049.000,24198.801,23876.000,24583.992
1997Mar,,,24273.836,28032.000,28897.351,4623.515,-6231.713,-7826.662,-1594.949,30505.549,39504.000,36724.013,6218.464,,,,,,,-1072.000,-292.061,-366.797,-345.000,74.736,,,1706.000,1889.540,716.760,1492.000,1172.780,,,14297.000,14225.531,-618.306,16867.000,14843.837,,,13074.342,-218.000,-667.959,427.200,-794.000,-1095.159,13319.000,13742.301,22285.000,21727.820
1997Feb,,,29366.483,17714.000,35721.109,6354.626,-8962.218,-9520.966,-558.748,38328.702,32391.000,45242.076,6913.374,,,,,,,1049.000,1708.445,2821.140,-764.000,-1112.695,,,1586.000,2572.150,440.890,1665.000,2131.260,,,6857.000,13799.501,-6687.193,14607.000,20486.695,,,17641.013,-717.000,-758.995,388.100,-1001.000,-1147.095,8939.000,18400.008,17885.000,24883.911
1997Jan,,,51414.301,37504.000,57343.899,5929.598,14959.653,15791.279,831.626,36454.648,32035.000,41552.620,5097.972,,,,,,,3741.000,5430.232,5267.720,1743.000,162.512,,,1480.000,-19.159,-918.860,1869.000,899.701,,,17032.000,29660.937,13603.859,9383.000,16057.078,,,22271.889,1757.000,1462.877,-28.800,1677.000,1491.677,13494.000,20809.013,17363.000,22941.653
1996Dec,,,-3035.439,39497.000,1365.718,4401.157,-23781.136,-25682.497,-1901.361,20745.697,45040.000,27048.215,6302.518,,,,,,,2518.000,-2985.874,-4081.081,1931.000,1095.207,,,-608.000,-440.557,-613.319,-541.000,172.762,,,6808.000,-12153.195,-14846.219,14453.000,2693.023,,,16945.344,-270.000,537.295,189.126,-256.000,348.169,31050.000,16408.050,29453.000,22739.054
1996Nov,,,18355.825,26640.000,20628.246,2272.421,-2489.293,-3680.698,-1191.405,20845.118,24730.000,24308.944,3463.826,,,,,,,143.000,-241.974,-79.027,-596.000,-162.947,,,909.000,895.075,592.830,527.000,302.245,,,12027.000,13272.694,-1223.962,14486.000,14496.656,,,6702.451,-637.000,198.508,-147.121,-445.000,345.629,14198.000,6503.943,10757.000,9327.361
1996Oct,,,18823.529,18067.000,19583.168,759.639,7620.044,7587.177,-32.867,11203.485,14761.000,11995.991,792.506,,,,,,,-827.000,514.763,1466.680,-1466.000,-951.917,,,1211.000,860.218,77.927,1229.000,782.291,,,8007.000,14017.118,4713.962,8216.000,9303.155,,,4191.069,4.000,694.247,-77.456,90.000,771.703,9672.000,3496.822,6692.000,2090.759
1996Sep,,,22037.999,31579.000,24586.479,2548.480,-3995.146,-3217.897,777.249,26033.145,30070.000,27804.376,1771.231,,,,,,,-436.000,-1639.645,-389.820,-431.000,-1249.825,,,815.000,-339.025,-505.045,962.000,166.020,,,10979.000,5819.111,-5016.121,13398.000,10835.232,,,20746.038,-332.000,-710.133,3.617,-493.000,-713.750,20554.000,21456.171,16635.000,18766.699
1996Aug,,,20017.734,24090.000,23771.705,3753.971,2840.600,3926.365,1085.765,17177.134,24070.000,19845.340,2668.206,,,,,,,-1495.000,-1984.941,-1338.759,-301.000,-646.182,,,159.000,-797.560,-384.805,76.000,-412.755,,,7450.000,8110.855,1038.444,6418.000,7072.412,,,18443.351,2613.000,2234.933,383.933,2123.000,1851.000,15363.000,16208.418,15753.000,11980.866
1996Jul,,,41218.688,36872.000,44298.185,3079.497,8863.544,10061.114,1197.570,32355.144,31349.000,34237.071,1881.927,,,,,,,896.000,3726.645,2331.746,110.000,1394.899,,,2494.000,4531.454,605.859,2825.000,3925.595,,,1446.000,5490.136,822.328,1883.000,4667.807,,,30549.950,19.000,312.880,16.918,184.000,295.962,32017.000,30237.070,26347.000,23952.808
1996Jun,,,8486.612,25990.000,16541.451,8054.839,-13173.215,-7497.943,5675.272,21659.827,24762.000,24039.394,2379.567,,,,,,,-1099.000,-1859.301,-1558.942,-704.000,-300.359,,,-60.000,-1111.071,-611.840,50.000,-499.231,,,6148.000,-1518.744,-7636.744,7979.000,6118.000,,,21030.566,954.000,149.904,-49.260,937.000,199.164,20046.000,20880.662,16500.000,18521.820
1996May,,,36350.255,27529.000,38405.264,2055.009,5496.918,4827.337,-669.581,30853.338,29597.000,33577.928,2724.590,,,,,,,1373.000,1941.827,609.245,945.000,1332.582,,,2017.000,2998.595,24.537,2136.000,2974.058,,,9784.000,12218.569,1447.898,9437.000,10770.671,,,21246.273,1518.000,1430.764,308.382,1234.000,1122.382,12838.000,19815.509,15844.000,17378.235
1996Apr,,,35174.994,40254.000,41168.006,5993.012,910.124,801.039,-109.085,34264.870,39974.000,40366.967,6102.097,,,,,,,1687.000,2264.085,2186.184,-352.000,77.901,,,1113.000,1538.917,113.865,978.000,1425.052,,,6784.000,3800.987,-5064.587,9367.000,8865.574,,,33564.017,1712.000,1370.400,-46.555,1749.000,1416.955,28957.000,32193.617,28232.000,28581.485
1996Mar,,,20788.809,23645.000,22210.525,1421.716,2005.191,1175.861,-829.330,18783.618,24588.000,21034.664,2251.046,,,,,,,-515.000,22.224,-110.187,-138.000,132.411,,,1840.000,2446.069,678.699,1866.000,1767.370,,,2278.000,1606.843,-413.486,4668.000,2020.329,,,18135.389,564.000,163.713,-2.614,493.000,166.327,19477.000,17971.676,17700.000,16948.226
1996Feb,,,44168.763,32272.000,48349.471,4180.708,12101.104,12728.916,627.812,32067.659,25406.000,35620.555,3552.896,,,,,,,1196.000,1898.209,1080.571,1022.000,817.638,,,1164.000,2215.510,495.090,1322.000,1720.420,,,8150.000,14624.899,962.615,8673.000,13662.284,,,29610.853,107.000,130.377,263.271,-86.000,-132.894,21656.000,29480.476,14474.000,19553.107
1996Jan,,,42818.116,27117.000,46843.299,4025.183,7084.068,7830.402,746.334,35734.048,28356.000,39012.897,3278.849,,,,,,,3224.000,4265.293,5914.592,-16.000,-1649.299,,,2269.000,586.786,-906.134,2239.000,1492.920,,,11245.000,24401.603,5451.958,12407.000,18949.645,,,17589.617,303.000,-6.213,-105.613,339.000,99.400,10076.000,17595.830,13387.000,20120.232
1995Dec,,,-19991.687,16886.000,-17735.654,2256.033,-31191.076,-30230.030,961.046,11199.390,26784.000,12494.377,1294.987,,,,,,,-2184.000,-6763.280,-3889.231,-2313.000,-2874.049,,,444.000,385.082,-800.168,740.000,1185.250,,,10660.000,-7421.039,-7655.928,10426.000,234.889,,,-3936.417,-175.000,664.917,280.801,-325.000,384.116,8141.000,-4601.333,18257.000,13564.171
1995Nov,,,24477.380,29436.000,26638.788,2161.408,-15555.511,-15190.014,365.497,40032.891,40791.000,41828.802,1795.911,,,,,,,-197.000,-521.871,854.092,-1788.000,-1375.963,,,628.000,747.706,172.896,661.000,574.810,,,2962.000,5067.805,-5757.635,10122.000,10825.440,,,21345.149,174.000,1090.654,-115.022,318.000,1205.676,25868.000,20254.495,31478.000,30598.839
1995Oct,,,20747.476,21645.000,24551.097,3803.621,9410.349,9512.349,102.000,11337.127,17020.000,15038.748,3701.621,,,,,,,-2134.000,-978.322,-1265.224,-248.000,286.902,,,237.000,-133.430,195.860,140.000,-329.290,,,13608.000,20689.708,11860.845,7282.000,8828.863,,,4973.141,273.000,954.587,67.864,201.000,886.723,9661.000,4018.554,9645.000,5365.551
1995Sep,,,26140.798,32779.000,28375.566,2234.768,-3761.749,-3802.570,-40.821,29902.547,33983.000,32178.136,2275.589,,,,,,,998.000,-212.476,-742.653,1442.000,530.177,,,1598.000,371.496,-381.464,1510.000,752.960,,,10871.000,5785.945,-2732.995,10786.000,8518.940,,,22430.601,555.000,211.329,-134.655,585.000,345.984,18757.000,22219.272,19660.000,22030.075
1995Aug,,,35569.246,41038.000,38802.725,3233.479,2282.130,1544.133,-737.997,33287.116,41409.000,37258.592,3971.476,,,,,,,700.000,280.209,154.794,468.000,125.415,,,742.000,-84.756,-394.000,643.000,309.244,,,12947.000,13638.628,1554.718,11372.000,12083.910,,,24968.644,862.000,424.397,85.780,692.000,338.617,25787.000,24544.247,28235.000,24401.406
1995Jul,,,17594.203,11517.000,17794.384,200.181,-511.242,25.602,536.844,18105.446,16218.000,17768.783,-336.663,,,,,,,-2312.000,379.493,562.500,-1378.000,-183.007,,,198.000,2468.200,789.260,561.000,1678.940,,,2953.000,5945.347,-2100.788,5798.000,8046.135,,,9001.344,-185.000,43.973,192.114,-240.000,-148.141,10863.000,8957.371,11477.000,8374.855
1995Jun,,,28653.657,42394.000,33023.321,4369.664,-3845.997,-3781.734,64.263,32499.655,37283.000,36805.056,4305.401,,,,,,,887.000,330.455,199.611,-237.000,130.843,,,2281.000,1337.654,-331.760,2104.000,1669.414,,,3610.000,-4129.020,-8820.325,6468.000,4691.305,,,35484.233,843.000,139.648,-74.141,874.000,213.789,34773.000,35344.585,28074.000,30099.704
1995May,,,20838.101,14269.000,23028.341,2190.240,6013.702,6114.702,101.000,14824.399,14941.000,16913.639,2089.240,,,,,,,537.000,889.081,443.557,140.000,445.524,,,1097.000,1553.853,46.240,1220.000,1507.613,,,9004.000,10814.486,1680.501,8479.000,9133.985,,,9770.920,1003.000,841.417,-8.046,1031.000,849.463,2629.000,8929.503,4071.000,4977.054
1995Apr,,,15061.450,18194.000,17379.918,2318.468,865.125,1455.125,590.000,14196.325,16435.000,15924.793,1728.468,,,,,,,-484.000,189.072,606.879,-908.000,-417.807,,,1114.000,1496.590,-287.820,1361.000,1784.410,,,4355.000,573.016,-4396.050,5940.000,4969.066,,,15121.240,419.000,-30.889,79.421,319.000,-110.310,12791.000,15152.129,9723.000,9699.434
1995Mar,,,32677.210,37035.000,34798.983,2121.773,10373.806,10490.397,116.591,22303.404,28865.000,24308.586,2005.182,,,,,,,-766.000,-511.228,-1153.118,566.000,641.890,,,1492.000,2432.379,1073.579,1277.000,1358.800,,,11117.000,10612.735,7763.718,5587.000,2849.017,,,22265.097,1535.000,1141.973,216.173,1282.000,925.800,23657.000,21123.124,20153.000,18533.078
1995Feb,,,41269.911,29062.000,44165.293,2895.382,15479.571,15557.571,78.000,25790.340,19408.000,28607.722,2817.382,,,,,,,-814.000,46.615,71.615,-44.000,-25.000,,,3120.000,3877.740,3002.740,528.000,875.000,,,-135.000,5782.235,-808.806,2466.000,6591.041,,,34458.703,2293.000,2375.281,6.521,2338.000,2368.760,24598.000,32083.422,14120.000,18797.921
1995Jan,,,32025.393,15682.000,33694.940,1669.547,5202.816,4645.276,-557.540,26822.578,18564.000,29049.665,2227.087,,,,,,,-1599.000,-324.100,1936.380,-585.000,-2260.480,,,1263.000,-317.130,-443.000,691.000,125.870,,,-565.000,12461.464,2494.588,3533.000,9966.876,,,21874.706,997.000,745.700,-12.000,966.000,757.700,15587.000,21129.006,13959.000,20459.699
1994Dec,,,17571.450,54308.000,24370.558,6799.108,-19868.975,-19459.265,409.710,37440.425,54604.000,43829.823,6389.398,,,,,,,8230.000,3638.603,-7020.781,10902.000,10659.384,,,1057.000,1024.000,-90.000,855.000,1114.000,,,13163.000,-3430.478,-9987.246,15401.000,6556.768,,,23138.433,973.000,1839.381,388.211,717.000,1451.170,30884.000,21299.052,26729.000,24048.501
1994Nov,,,91719.893,95970.000,95396.333,3676.440,4944.403,5011.403,67.000,86775.489,88568.000,90384.929,3609.440,,,,,,,494.000,-270.000,-1965.470,1394.000,1695.470,,,1168.000,1346.580,8.980,1270.000,1337.600,,,22836.000,25210.440,5452.000,18632.000,19758.440,,,69109.313,764.000,1706.226,19.000,766.000,1687.226,70709.000,67403.087,66506.000,65906.194
1994Oct,,,34093.390,30879.000,35605.715,1512.325,7083.911,7759.911,676.000,27009.479,28428.000,27845.804,836.325,,,,,,,3539.000,4935.480,1463.580,2837.000,3471.900,,,953.000,540.240,171.000,845.000,369.240,,,3930.000,12009.450,5817.000,4073.000,6192.450,,,18120.545,-219.000,424.870,-15.000,-202.000,439.870,22676.000,17695.675,20875.000,17372.344
1994Sep,,,22907.874,26527.000,23811.364,903.490,8302.298,7909.298,-393.000,14605.576,17881.000,15902.066,1296.490,,,,,,,565.000,-712.898,-186.700,465.000,-526.198,,,-35.000,-1205.310,-439.800,24.000,-765.510,,,4267.000,-641.680,-3824.020,5279.000,3182.340,,,26371.253,-173.000,-490.171,-123.000,-171.000,-367.171,21904.000,26861.424,12284.000,14378.605
1994Aug,,,29932.755,36999.000,34196.155,4263.400,7051.071,6942.071,-109.000,22881.683,31511.000,27254.083,4372.400,,,,,,,2531.000,2170.010,479.680,2055.000,1690.330,,,717.000,217.184,-349.790,739.000,566.974,,,10014.000,10597.510,388.020,9624.000,10209.490,,,21211.450,547.000,12.880,-203.000,641.000,215.880,23190.000,21198.570,18452.000,14571.409
1994Jul,,,29749.399,31680.000,35082.863,5333.464,15838.882,14755.882,-1083.000,13910.517,19870.000,20326.981,6416.464,,,,,,,-44.000,2729.350,2302.320,-605.000,427.030,,,513.000,2474.190,945.000,458.000,1529.190,,,8736.000,10124.570,2418.000,6069.000,7706.570,,,19754.753,184.000,396.072,178.000,174.000,218.072,22292.000,19358.681,13774.000,10446.119
1994Jun,,,12891.181,25284.000,16998.181,4107.000,-6138.120,-4535.120,1603.000,19029.301,21407.000,21533.301,2504.000,,,,,,,-46.000,-651.586,-2059.270,1096.000,1407.684,,,241.000,-382.080,-92.800,13.000,-289.280,,,14381.000,7784.072,862.000,8303.000,6922.072,,,10247.776,892.000,304.420,117.000,739.000,187.420,9816.000,9943.356,11256.000,13305.406
1994May,,,42734.759,36040.000,42551.099,-183.660,12771.654,12483.654,-288.000,29963.105,29058.000,30067.445,104.340,,,,,,,105.000,418.440,-1581.300,1650.000,1999.740,,,306.000,335.500,197.530,232.000,137.970,,,8999.000,9879.220,4990.000,4863.000,4889.220,,,31917.939,1963.000,1775.000,-67.000,2048.000,1842.000,24668.000,30142.939,20265.000,21198.515
1994Apr,,,8306.415,11015.000,7924.095,-382.320,-5333.313,-5342.313,-9.000,13639.728,15249.000,13266.408,-373.320,,,,,,,3552.000,4251.900,1249.190,2612.000,3002.710,,,327.000,745.780,131.070,189.000,614.710,,,-2511.000,-6954.820,-7060.400,1574.000,105.580,,,9881.235,1125.000,601.990,-72.000,1153.000,673.990,8521.000,9279.245,9720.000,8869.418
1994Mar,,,10267.827,13730.000,11469.927,1202.100,-2073.421,-2074.421,-1.000,12341.248,18504.000,13544.348,1203.100,,,,,,,388.000,344.930,-257.400,761.000,602.330,,,811.000,1573.600,669.440,704.000,904.160,,,1786.000,1237.650,765.400,3116.000,472.250,,,8313.747,-157.000,-560.200,-173.000,-33.000,-387.200,10902.000,8873.947,13956.000,11952.808
1994Feb,,,37717.884,23383.000,38123.024,405.140,2595.776,2224.776,-371.000,35122.108,27068.000,35898.248,776.140,,,,,,,-1283.000,-14.090,-240.200,-76.000,226.110,,,382.000,1141.080,768.000,109.000,373.080,,,2744.000,8584.060,3521.360,1568.000,5062.700,,,28411.974,3017.000,3202.310,224.000,2885.000,2978.310,18522.000,25209.664,22582.000,27258.048
1994Jan,,,43077.029,32872.000,48230.362,5153.333,18.543,302.543,284.000,43058.486,38850.000,47927.819,4869.333,,,,,,,702.000,2499.420,2085.910,1966.000,413.510,,,899.000,-552.550,-917.610,837.000,365.060,,,-918.000,11386.640,-1950.060,7188.000,13336.700,,,34896.852,2141.000,1942.280,-30.000,2124.000,1972.280,30048.000,32954.572,26735.000,31840.269
1993Dec,,,27103.319,53637.000,28279.477,1176.158,-17671.235,-17321.235,350.000,44774.554,53220.000,45600.712,826.158,,,,,,,-1266.000,-6348.130,-5891.370,-410.000,-456.760,,,1403.000,1411.060,-221.320,1401.000,1632.380,,,9443.000,-5080.630,-6609.300,9061.000,1528.670,,,38297.177,2724.000,3533.930,114.000,2723.000,3419.930,41333.000,34763.247,40445.000,39476.492
1993Nov,,,30352.115,33308.000,33554.115,3202.000,-7444.436,-7539.436,-95.000,37796.551,38707.000,41093.551,3297.000,,,,,,,496.000,-687.660,-2889.380,2066.000,2201.720,,,1567.000,1816.820,19.000,1627.000,1797.820,,,9818.000,12005.580,-1825.290,12638.000,13830.870,,,20419.375,2434.000,3312.990,90.000,2354.000,3222.990,18993.000,17106.385,20022.000,20040.151
1993Oct,,,43223.089,42481.000,48631.429,5408.340,3026.397,3194.397,168.000,40196.692,45137.000,45437.032,5240.340,,,,,,,2849.000,4589.450,1568.800,2156.000,3020.650,,,1385.000,915.820,-58.550,1489.000,974.370,,,9711.000,18766.130,3537.060,12580.000,15229.070,,,24360.029,3288.000,3780.256,-63.000,3353.000,3843.256,25249.000,20579.773,25558.000,22369.686
1993Sep,,,14056.264,23275.000,20642.342,6586.078,-8551.274,-7667.274,884.000,22607.538,30695.000,28309.616,5702.078,,,,,,,1719.000,346.420,754.430,714.000,-408.010,,,365.000,-836.960,-212.520,190.000,-624.440,,,-1427.000,-6227.990,-10252.750,5921.000,4024.760,,,27360.872,1150.000,829.270,-193.000,1212.000,1022.270,21468.000,26531.602,22659.000,24295.036
1993Aug,,,21432.245,26339.000,24440.615,3008.370,-6292.275,-6151.275,141.000,27724.520,34823.000,30591.890,2867.370,,,,,,,86.000,-217.000,72.980,113.000,-289.980,,,1255.000,961.200,-318.000,1309.000,1279.200,,,6257.000,6569.510,-1649.740,7703.000,8219.250,,,17126.905,1156.000,676.000,-286.000,1331.000,962.000,17585.000,16450.905,24367.000,20421.420
